timestamp,cpu_percent,mem_used_mb,mem_total_mb,disk_used_gb,disk_total_gb,net_sent_kb,net_recv_kb
1762986140,9.5,8905.8,14227.85,385.16,465.14,0.05,0.06
1762986146,4.8,9058.02,14227.85,385.16,465.14,0.0,0.0
1762986153,3.3,9065.01,14227.85,385.16,465.14,0.89,0.86
1762986160,2.2,9076.1,14227.85,385.16,465.14,0.75,0.66
1762986166,16.7,9076.1,14227.85,385.16,465.14,0.0,0.0
1762986173,0.3,9089.34,14227.85,385.16,465.14,0.16,0.2
1762986190,8.9,9043.98,14227.85,385.17,465.14,0.19,0.3
1762986196,4.3,9085.33,14227.85,385.17,465.14,12.66,16.21
1762986203,8.8,9080.11,14227.85,385.17,465.14,0.16,0.2
1763062499,2.6,8442.52,16027.76,110.53,475.79,0.0,0.0
1763062505,38.5,8577.96,16027.76,110.53,475.79,0.05,0.2
1763062513,22.6,8574.85,16027.76,110.53,475.79,2.12,3.43
1763062521,13.4,8698.55,16027.76,110.53,475.79,0.78,0.66
1763062530,8.0,8707.03,16027.76,110.53,475.79,0.05,0.06
1763062538,8.8,8691.6,16027.76,110.53,475.79,0.0,0.0
1763062546,13.1,8782.93,16027.76,110.53,475.79,0.08,0.0
1763062554,8.3,8622.2,16027.76,110.53,475.79,11.29,11.85
1763062562,9.9,8623.61,16027.76,110.53,475.79,0.66,0.66
1763062570,11.8,8598.87,16027.76,110.53,475.79,0.05,0.06
1763062579,11.3,8490.85,16027.76,110.52,475.79,4.55,6.25
1763062587,10.7,8482.97,16027.76,110.52,475.79,0.0,0.0
1769526551,0.6,9878.3,14227.85,377.22,465.14,1.83,22.57
1769526557,7.7,9917.68,14227.85,377.22,465.14,5.79,62.2
1769526564,7.1,9919.02,14227.85,377.22,465.14,2.3,47.89
1769526571,44.8,9996.27,14227.85,377.22,465.14,10.7,501.51
1769526577,20.5,9956.29,14227.85,377.22,465.14,34.17,1445.22
1769526584,18.8,10130.25,14227.85,377.23,465.14,12.12,573.72
1769526591,28.1,10087.53,14227.85,377.22,465.14,12.17,538.06
1769526598,23.5,10099.64,14227.85,377.22,465.14,9.63,490.72
1769526604,20.2,10123.3,14227.85,377.22,465.14,14.63,346.77
1769526611,24.0,10147.38,14227.85,377.22,465.14,5.59,490.84
1769526618,11.2,10112.05,14227.85,377.22,465.14,22.23,693.1
1769526624,29.3,10115.62,14227.85,377.23,465.14,9.07,799.85
1769526631,18.1,10107.12,14227.85,377.23,465.14,14.39,475.53
1769526638,9.2,10127.61,14227.85,377.23,465.14,12.49,513.36
1769526645,13.1,10087.4,14227.85,377.23,465.14,8.37,446.94
1769526651,18.7,10072.79,14227.85,377.22,465.14,7.17,449.0
1769526658,30.2,10117.43,14227.85,377.23,465.14,4.96,347.62
1769526665,14.0,10136.14,14227.85,377.23,465.14,8.21,456.67
1769526672,15.3,10113.8,14227.85,377.23,465.14,12.91,567.56
1769526679,13.1,10048.84,14227.85,377.22,465.14,8.54,505.27
1769526685,29.7,10057.68,14227.85,377.23,465.14,10.81,511.72
1769526692,35.6,10247.52,14227.85,377.23,465.14,25.32,581.93
1769526699,10.8,10209.26,14227.85,377.23,465.14,13.79,466.22
1769526705,11.7,10207.36,14227.85,377.23,465.14,10.07,624.11
1769526712,30.3,10216.92,14227.85,377.23,465.14,5.57,339.65
1769526719,31.1,10253.7,14227.85,377.23,465.14,4.85,448.98
1769526726,16.5,10124.54,14227.85,377.23,465.14,9.65,449.9
1769526732,15.3,10050.73,14227.85,377.23,465.14,6.91,397.48
1769526739,21.6,10061.43,14227.85,377.23,465.14,8.28,491.89
1769526746,43.2,10188.62,14227.85,377.23,465.14,18.29,743.21
1769526753,23.8,10279.98,14227.85,377.23,465.14,6.01,429.93
1769526759,24.8,10195.43,14227.85,377.23,465.14,8.38,476.09
